Tijd;Duur (min);Eind;Programma
08:30;45;09:15;Registration and Coffee
09:15;15;09:30;Opening
09:30;45;10:15;"A Few of Our Favorite (Mac Admin) Things
Armin Briegel & Rob Potvin"
10:15;25;10:40;"WorkBrew - Securing Developer Workflows (With the Tools They Already Love)
David Starr"
10:40;30;11:10;Coffee Break
11:10;45;11:55;"Do Mac Administrators Dream of Electric Users?
Ulrik Aabye-Hansen"
11:55;25;12:20;"Jamf - Think Different. Then Update: Software Updates, It's been a journey.
Rachelle Noel"
12:20;60;13:20;Lunch
13:20;45;14:05;Special Guest
14:05;45;14:50;"Trust, But Verify: Exposing Risk in Your App Catalog
Alexandra Smith"
14:50;30;15:20;Coffee Break
15:20;25;15:45;"Fleet DM - Unlock the future of device management with Fleet
Harrison Ravazzolo - Henry Stamerjohann"
15:45;45;16:30;"From Zero to Hero : Making Onboarding Magical
Guillaume Gète"
16:30;25;16:55;"Iru - The Perpetual Promise of Passkeys & Passwordless
Weldon Dodd"
16:55;20;17:15;Closing Session
